city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,Source: https://simplemaps.com/data/us-cities
San Jose,San Jose,CA,California,6085,Santa Clara,37.3018,-121.8485,1821899,1035317,2251,polygon,TRUE,America/Los_Angeles,95118 95128 95124 95125 95126 95120 95121 95122 95123 95008 95002 95117 95116 95111 95110 95113 95112 95119 95127 95148 95133 95132 95131 95130 95136 95135 95134 95139 95138 95037 95013 95129 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95160 95161 95164 95172 95173 95190 95191 95192 95193 95194 95196,1840021570,
Austin,Austin,TX,Texas,48453,Travis,30.3006,-97.7517,1638716,950715,1144,polygon,TRUE,America/Chicago,78749 78748 78741 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 78742 73301 73344 78651 78680 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590,
Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1156291,892062,460,polygon,TRUE,America/New_York,32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32217 32216 32211 32210 32212 32233 32246 32244 32234 32205 32202 32250 32254 32257 32256 32208 32209 32206 32204 32258 32277 32207 32099 32201 32203 32214 32229 32231 32232 32235 32236 32237 32238 32239 32241 32245 32247 32255,1840015031,
San Francisco,San Francisco,CA,California,6075,San Francisco,37.7562,-122.443,3603761,884363,7279,polygon,TRUE,America/Los_Angeles,94130 94131 94132 94133 94134 94108 94103 94102 94105 94104 94158 94124 94127 94123 94122 94121 94129 94110 94118 94112 94116 94117 94114 94115 94111 94109 94107 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188,1840021543,
Columbus,Columbus,OH,Ohio,39049,Franklin,39.986,-82.9852,1528314,879170,1552,polygon,TRUE,America/New_York,43026 43109 43054 43220 43221 43222 43223 43224 43228 43227 43213 43212 43215 43214 43217 43219 43002 43004 43068 43081 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43210 43202 43203 43201 43206 43207 43204 43205 43209 43218 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,1840003760,
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant,32.7814,-97.3473,874168,874168,978,polygon,TRUE,America/Chicago,76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76106 76103 76102 76155 76053 76052 76123 76120 76244 76006 76008 76177 76036 76140 76262 76129 76179 76118 76119 76116 76117 76114 76115 76112 76110 76111 76127 76126 76101 76113 76121 76122 76124 76130 76147 76150 76161 76162 76163 76166 76191 76193 76195 76196 76197 76198 76199,1840020696,
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1564699,863002,921,polygon,TRUE,America/Indiana/Indianapolis,46234 46218 46219 46217 46214 46260 46268 46226 46225 46228 46183 46231 46235 46236 46237 46239 46250 46208 46201 46203 46202 46205 46204 46256 46254 46259 46227 46224 46222 46221 46220 46229 46113 46278 46241 46240 46206 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298,1840030084,
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2079,-80.8303,1467362,859035,1083,polygon,TRUE,America/New_York,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28227 28226 28278 28270 28273 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28223 28224 28228 28229 28230 28231 28232 28233 28234 28235 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28274 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299,1840014557,
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244,3643765,724745,3337,polygon,TRUE,America/Los_Angeles,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,1840021117,
Denver,Denver,CO,Colorado,8031,Denver,39.7621,-104.8759,2787266,704621,1774,polygon,TRUE,America/Denver,80264 80218 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80208 80217 80243 80244 80248 80250 80256 80257 80259 80261 80262 80265 80266 80271 80273 80274 80281 80291 80299,1840018789,
